"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2014";"2015";"2016";"2017";"2018";"2019" 
"14610320 Styrkelse af frivil. arb. i socialt be. omr. "; -1,6; 0,0; 0,0; 0,0; 0,0; 0,0
"146104 Bypolitiske initiativer "; -0,2; 0,0; 0,0; 0,0; 0,0; 0,0
"14610430 Lokale integrationsplaner i byer "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"14610440 Byudviklingspuljen "; -0,2; 0,0; 0,0; 0,0; 0,0; 0,0
"146105 Etablering af lok. integrationspartnerskaber "; -1,1; 0,0; 0,0; 0,0; 0,0; 0,0
"14610510 Etablering af lokale integrationspart. "; -1,1; 0,0; 0,0; 0,0; 0,0; 0,0
"1462 Indsatser vedr. integration mv. "; 4,7; 18,2; 5,8; 5,7; 5,6; 5,5
"146201 Nydanske kvinders vej til beskæftigelse "; -1,4; 0,0; 0,0; 0,0; 0,0; 0,0
"14620110 Nydanske kvinders vej til beskæftigelse "; -1,4; 0,0; 0,0; 0,0; 0,0; 0,0
"146202 Opsøgende indsats over for selvforsørgende "; 7,7; 14,4; 2,1; 2,1; 2,1; 2,1
"14620210 Opsøgende indsats over for selvforsørgede "; 7,9; 12,3; 0,0; 0,0; 0,0; 0,0
"14620220 Indsats overfor selvforsørgede "; -0,2; 2,1; 2,1; 2,1; 2,1; 2,1
"146203 Et mangfoldigt arbejdsmarked "; -4,1; 0,0; 0,0; 0,0; 0,0; 0,0
"14620320 Fastholdelse af nydanskere på arbejdsmarkedet"; -4,1; 0,0; 0,0; 0,0; 0,0; 0,0
"14620330 Etnisk erhvervsfremme "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"146204 Virksomhedsrettede forsøg- og udvikling "; -0,2; 0,0; 0,0; 0,0; 0,0; 0,0
"14620410 Virksomhedsrettede forsøg og udvikling "; -0,2; 0,0; 0,0; 0,0; 0,0; 0,0
"146205 Nedbrydning af barrierer for beskæftigelse "; -0,8; 0,0; 0,0; 0,0; 0,0; 0,0
"14620510 Arbejdsmarkedspolitiske initiativer "; 0,3; 0,0; 0,0; 0,0; 0,0; 0,0
"14620520 Forstærket beskæftigelsesindsats "; -1,2; 0,0; 0,0; 0,0; 0,0; 0,0
"14620530 Flygtninge- og indvandrerkvinder "; 0,1; 0,0; 0,0; 0,0; 0,0; 0,0
"146207 Efteruddannelse "; 3,1; 3,8; 3,7; 3,6; 3,5; 3,4
"14620710 Efteruddannelse "; 3,1; 3,8; 3,7; 3,6; 3,5; 3,4
"146208 Arbejdsmarkedsdansk "; 0,3; 0,0; 0,0; 0,0; 0,0; 0,0
"14620810 Grundkursus i arbejdsmarkedsdansk "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"14620820 Erhvervsrettet DK-undervisning på internettet"; 0,3; 0,0; 0,0; 0,0; 0,0; 0,0
"1463 Initiativer vedr. international rekruttering "; 2,3; 4,0; 4,0; 0,0; 0,0; 0,0
"146301 Projekter for udenlandsk arbejdskraft "; 0,0; 2,0; 2,0; 0,0; 0,0; 0,0
"14630110 Projekter for udenlandsk arbejdskraft "; 0,0; 2,0; 2,0; 0,0; 0,0; 0,0
"146302 Familiepakker - integrationstilbud "; 1,2; 0,0; 0,0; 0,0; 0,0; 0,0
"14630210 Familiepakker - integrationstilbud "; 1,2; 0,0; 0,0; 0,0; 0,0; 0,0
"146303 Støtte og rådgivning for au-pairs "; 1,1; 2,0; 2,0; 0,0; 0,0; 0,0
"14630310 Støtte og rådgivning for au pairs "; 1,1; 2,0; 2,0; 0,0; 0,0; 0,0
"1469 Øvrige integrationsinitiativer mv. "; 35,6; 66,4; 35,5; 18,3; 10,8; 6,2
"146901 Tilskud vedrørende indvandrere og flygtninge "; 21,7; 17,7; 3,1; 3,1; 3,1; 3,1
"14690110 National strategi mod tvangsægteskaber "; 4,6; 5,2; 0,0; 0,0; 0,0; 0,0
"14690120 Dialog, medborgerskab mv. "; 5,2; 5,3; 0,0; 0,0; 0,0; 0,0
"14690130 Traumatiserede flygtningefamilier "; 4,2; 4,1; 0,0; 0,0; 0,0; 0,0
"14690140 Demokratisk medborgerskab og ligebehandling "; 2,6; 0,0; 0,0; 0,0; 0,0; 0,0
"14690150 Aktivt medborgerskab "; 5,4; 0,0; 0,0; 0,0; 0,0; 0,0
"14690160 Øget oplysning om integration "; 0,1; 3,1; 3,1; 3,1; 3,1; 3,1
"14690170 Indsatsen mod familierelateret vold "; -0,3; 0,0; 0,0; 0,0; 0,0; 0,0
"146902 Kvinder og familier med etnisk minoritetsbagg "; 0,8; 0,0; 0,0; 0,0; 0,0; 0,0
"14690210 Forebyggelse af æresrelaterede konflikter "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"14690220 Kurser om tvangsægteskaber ol. "; 0,8; 0,0; 0,0; 0,0; 0,0; 0,0
"146903 Formidling af viden "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"14690310 Formidling af viden "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"146904 Opkvalificering af kommuner mv. "; -0,3; 2,3; 2,3; 0,0; 0,0; 0,0
"14690410 Opkvalificering af kommuner mv. "; -0,3; 2,3; 2,3; 0,0; 0,0; 0,0
"146905 Styrkelse af sammenhængskraften mv. "; 1,4; 2,0; 0,0; 0,0; 0,0; 0,0
"14690510 Rollemodeller og forældrenetværk "; 1,4; 2,0; 0,0; 0,0; 0,0; 0,0
"14690520 Kortlægning af ekstremisme "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"146906 Frivillige integrationsarbejde "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"14690610 frivillige integrationsarbejde "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"146907 Styrket informationsindsats ft. repat. "; -1,4; 0,0; 0,0; 0,0; 0,0; 0,0
"14690710 Styrket informationsindsats ift. repat. "; -1,4; 0,0; 0,0; 0,0; 0,0; 0,0
"146908 Styrket indsats til unge, der flygter mv. "; 0,0; 9,7; 7,3; 7,1; 0,0; 0,0
"14690810 R.E.D.-Botilbud "; 0,0; 0,3; 7,1; 7,0; 0,0; 0,0
"14690820 Etablering af nyt botilbud "; 0,0; 9,2; 0,0; 0,0; 0,0; 0,0
"14690830 Evaluering af nyt botilbud "; 0,0; 0,2; 0,2; 0,1; 0,0; 0,0
"146909 Forebyggelse af radikalisering "; 0,0; 18,2; 6,3; 5,0; 4,6; 0,0
"14690910 Forebyggelse af radikalisering "; 0,0; 18,2; 6,3; 5,0; 4,6; 0,0
"146910 Støtte til private organisationer mv. "; 0,0; 2,0; 2,0; 2,0; 2,0; 2,0
"14691010 KVINFO's Mentornetværk "; 0,0; 2,0; 2,0; 2,0; 2,0; 2,0
"146914 Driftsstøtte til brugerorganisationer mv. "; 13,4; 14,5; 14,5; 1,1; 1,1; 1,1
"14691410 Dansk Flygtningehjælp "; 0,0; 1,1; 1,1; 1,1; 1,1; 1,1
"14691420 Satspuljeaftalen for 2013, driftsstøtte "; 13,4; 13,4; 13,4; 0,0; 0,0; 0,0
"147 Ydelser og refusioner vedrørende indvandrere "; 1914,6; 3122,1; 3770,9; 4425,2; 4683,4; 4523,6
"1471 Introduktionsprogram og danskuddannnelse mv. "; 1914,6; 3122,1; 3770,9; 4425,2; 4683,4; 4523,6
"147101 Kontanthjælp og integrationsydelse "; 532,6; 1107,7; 0,0; 0,0; 0,0; 0,0
"14710110 Kontanthjælp ifm. integrationsprogrammet "; 532,6; 1107,7; 0,0; 0,0; 0,0; 0,0
"147102 Aktive tilbud og danskuddannelse "; 347,1; 329,4; 324,4; 325,1; 325,6; 324,7
"14710210 Aktive tilbud under introduktionsforløbet "; 0,5; 1,1; 1,8; 1,8; 1,9; 1,9
"14710220 Arbejdsmarkedsrettet dansk "; 34,7; 115,8; 187,7; 220,0; 220,9; 220,9
"14710230 Ordinær dansk for udlændinge under introdukti"; 312,0; 212,5; 134,9; 103,3; 102,8; 101,9
"147103 Aktive tilbud og danskuddannelse til udlændig "; 324,6; 604,2; 815,5; 1021,1; 1071,6; 1031,6
"14710310 Aktive tilbud under integrationsprogrammet "; 86,7; 183,7; 240,9; 303,7; 317,8; 305,7
"14710320 Ordinær dansk for udlændinge under integratio"; 237,9; 420,5; 574,6; 717,4; 753,8; 725,9
"147104 Resultattilskud "; 142,9; 169,0; 236,2; 317,5; 467,9; 511,8
"14710410 Resultattilskud "; 142,9; 169,0; 236,2; 317,5; 467,9; 511,8
"147105 Grundtilskud "; 445,6; 748,8; 1102,5; 1380,9; 1463,6; 1403,5
"14710510 Grundtilskud "; 445,6; 748,8; 1102,5; 1380,9; 1463,6; 1403,5
"147106 Hjælp i særlige tilfælde "; 39,8; 71,3; 113,5; 148,1; 158,0; 150,4
"14710610 Hjælp i særlige tilfælde mv. "; 39,8; 71,3; 113,5; 148,1; 158,0; 150,4
"147107 Reintegrationsbistand "; 25,5; 33,3; 35,1; 37,7; 40,2; 42,3
"14710710 Reintegrationsbistand "; 25,5; 33,3; 35,1; 37,7; 40,2; 42,3
"147108 Repatriering af udlændinge "; 56,5; 58,4; 58,0; 58,0; 58,0; 58,0
"14710810 Hjælp til repatriering "; 56,5; 58,4; 58,0; 58,0; 58,0; 58,0
"147109 Finansieringsbidrag au pairs "; 0,0; 0,0; -8,0; -8,0; -8,0; -8,0
"14710910 Finansieringsbidrag vedr. au pairs "; 0,0; 0,0; -8,0; -8,0; -8,0; -8,0
"147110 Kontanthjælp og integrationsydelse "; 0,0; 0,0; 376,1; 209,4; 106,1; 0,0
"14711020 Kontanthjælp ifm. integrationsprogram 40 pct."; 0,0; 0,0; 30,5; 0,0; 0,0; 0,0
"14711030 Kontanthjælp ifm. integrationsprogram 30 pct."; 0,0; 0,0; 80,2; 0,0; 0,0; 0,0
"14711040 Kontanthjælp ifm. integrationsprogram 20 pct."; 0,0; 0,0; 265,4; 209,4; 106,1; 0,0
"147111 Integrationsydelse ifm integrationprogrammet "; 0,0; 0,0; 644,8; 870,8; 928,5; 844,0
"14711110 80 pct. refusion "; 0,0; 0,0; 150,4; 99,0; 79,7; 57,6
"14711120 40 pct. refusion "; 0,0; 0,0; 339,8; 258,9; 195,8; 142,3
"14711130 30 pct. refusion "; 0,0; 0,0; 131,1; 211,8; 150,2; 108,1
"14711140 20 pct. refusion "; 0,0; 0,0; 23,5; 301,1; 502,8; 536,0
"147112 Integrationsydelse for øvrige "; 0,0; 0,0; 72,8; 64,6; 71,9; 165,3
"14711210 80 pct. refusion "; 0,0; 0,0; 16,1; 11,5; 10,8; 10,4
"14711220 40 pct. refusion "; 0,0; 0,0; 39,1; 28,7; 27,0; 26,0
"14711230 30 pct. refusion "; 0,0; 0,0; 16,4; 21,5; 20,3; 19,5
"14711240 20 pct. refusion "; 0,0; 0,0; 1,2; 2,9; 13,8; 109,4
"15 Social- og Indenrigsministeriet "; 202933,2; 203291,1; 208632,7; 206752,3; 205660,8; 203944,1
"151 Fællesudgifter "; 3376,8; 3612,6; 3562,3; 3497,6; 3412,0; 3355,1
"1511 Centralstyrelsen "; 1212,3; 1287,5; 1255,2; 1225,4; 1202,2; 1166,5
"151101 Departementet "; 223,5; 205,3; 205,6; 205,0; 201,4; 195,1
"15110110 Almindelig virksomhed "; 213,4; 203,9; 203,7; 203,1; 199,5; 193,2
"15110120 Ligestillingsafdelingen "; 4,6; 0,0; 0,0; 0,0; 0,0; 0,0
"15110125 Brugertilfredshedsundersøgelser "; 4,1; 0,0; 0,0; 0,0; 0,0; 0,0
"15110130 Psykolognævnet "; 1,4; 1,4; 1,9; 1,9; 1,9; 1,9
"15110190 Indtægtsdækket virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"15110197 Andre tilskudsfinansierede aktiviteter "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"151102 Støtte til foreninger mv. "; 0,0; 0,1; 0,1; 0,1; 0,1; 0,1
"15110230 Europæiske fond for social udvikling under FN"; 0,0; 0,1; 0,1; 0,1; 0,1; 0,1
"151118 Danmarks Statistik "; 259,3; 263,0; 257,1; 252,2; 242,7; 237,8
"15111810 Almindelig virksomhed "; 259,3; 263,0; 257,1; 252,2; 242,7; 237,8
"15111890 Indtægtsdækket virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"15111897 Tilskudsfinansierede aktiviteter "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"151120 Rådet for Socialt Udsatte "; 7,4; 6,3; 6,2; 4,1; 4,0; 3,9
"15112010 Rådet for socialt udsatte "; 7,4; 6,3; 6,2; 4,1; 4,0; 3,9
"151121 Ankestyrelsen "; 243,7; 251,3; 248,2; 232,3; 228,7; 223,1
"15112110 Almindelig virksomhed "; 243,7; 251,3; 248,2; 232,3; 228,7; 223,1
"15112120 Gebyrfinansieret virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"15112190 Indtægtsdækket virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"15112197 Andre tilskudsfinansierede aktiviteter "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"151123 Børnerådet "; 8,3; 8,7; 8,6; 8,5; 8,4; 8,3
"15112310 Almindelig virksomhed "; 8,3; 8,7; 8,6; 8,5; 8,4; 8,3
"15112397 Andre tilskudsfinansierede aktiviteter "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"151124 Det Centrale Handicapråd "; 5,3; 5,4; 5,4; 5,4; 5,4; 5,4
"15112410 Almindelig virksomhed "; 5,3; 5,4; 5,4; 5,4; 5,4; 5,4
"15112497 Andre tilskudsfinansierede aktiviteter "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"151126 CPR-administration "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"15112610 Driftsudgifter "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"151130 Socialstyrelsen "; 153,8; 179,5; 170,9; 164,7; 157,0; 136,6
"15113010 Almindelig virksomhed "; 101,9; 106,1; 136,6; 134,7; 129,5; 129,9
"15113012 Rådgivning, kommuner, kriminelle unge "; 2,1; 2,1; 1,1; 0,0; 0,0; 0,0
"15113013 Tilbudsportalen "; 6,0; 6,1; 6,1; 6,1; 6,1; 6,1
"15113050 Satspuljeinitiativer "; 0,0; 21,5; 27,2; 23,9; 21,4; 0,6
"15113060 Videnscenter for Handicap og Socialpsykiatri "; 43,8; 44,3; 0,0; 0,0; 0,0; 0,0
"15113090 Indtægtsdækket virksomhed "; 0,0; -0,6; 0,0; 0,0; 0,0; 0,0
"15113097 Andre tilskudsfinansierede aktiviteter "; 0,0; 0,0; -0,1; 0,0; 0,0; 0,0
"151131 Rådgivning og udredning "; 170,8; 245,1; 246,8; 246,8; 246,8; 246,8
"15113110 Rådgivning og udredning "; 121,6; 143,4; 144,4; 144,4; 144,4; 144,4
"15113120 Specialrådgivning og vidensudvikling "; 49,2; 101,7; 102,4; 102,4; 102,4; 102,4
"151133 Gebyr ved ansøgning om navneændringer "; -9,0; -8,9; -8,9; -8,9; -8,9; -8,9
"15113310 Gebyr ved navneændringer "; -9,0; -8,9; -8,9; -8,9; -8,9; -8,9
"151134 Parrådgivning "; 2,5; 6,5; 0,7; 0,7; 2,1; 0,0
"15113410 Parrådgivning "; 2,5; 2,5; 0,0; 0,0; 0,0; 0,0
"15113420 Konflikthåndtering, evaluering mv. "; 0,0; 4,0; 0,7; 0,7; 2,1; 0,0
"151143 Berigtigelser vedr. det sociale refusionssys "; 37,5; 0,0; 0,0; 0,0; 0,0; 0,0
"15114310 Efterbetaling til kommunerne "; 37,5; 0,0; 0,0; 0,0; 0,0; 0,0
"151145 Partistøtte "; 107,5; 109,3; 109,4; 109,4; 109,4; 109,4
"15114510 Partistøtte "; 107,5; 109,3; 109,4; 109,4; 109,4; 109,4
"151162 Foreninger mv. "; 1,8; 2,1; 2,1; 2,1; 2,1; 2,1
"15116210 Foreninger mv. "; 0,1; 0,3; 0,3; 0,3; 0,3; 0,3
"15116240 Egmont Højskolen "; 1,7; 1,8; 1,8; 1,8; 1,8; 1,8
"151163 Udlånte tjenestemænd "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"15116320 Tjenestemænd udlånt til Udbetaling Danmark "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"151179 Reserver og budgetregulering "; 0,0; 13,8; 3,0; 3,0; 3,0; 6,8
"15117920 Det kommunale lov- og cirkulæreprogram "; 0,0; 13,8; 3,0; 3,0; 3,0; 6,8
"1512 Statsforvaltningen "; 310,4; 328,3; 326,3; 320,7; 314,9; 297,2
"151201 Statsforvaltningen "; 298,6; 306,2; 296,8; 291,2; 285,4; 267,7
"15120110 Almindelig virksomhed "; 298,6; 306,2; 296,8; 291,2; 285,4; 267,7
"15120197 Andre tilskudsfinansierede aktiviteter "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"151202 Børnesagkyndige undersøgelser "; 9,2; 15,0; 14,2; 14,2; 14,2; 14,2
"15120210 Børnesagkyndige undersøgelser "; 9,2; 15,0; 14,2; 14,2; 14,2; 14,2
"151203 Børneloven m.v. "; 5,9; 7,1; 7,1; 7,1; 7,1; 7,1
"15120310 Undersøgelser m.v. der følger af børneloven "; 5,9; 7,1; 7,1; 7,1; 7,1; 7,1
"151204 Gebyrordninger for Statsforvaltningen "; -10,3; -8,1; 0,0; 0,0; 0,0; 0,0
"15120410 Gebyr for skilsmissebevillinger "; -10,3; -8,1; 0,0; 0,0; 0,0; 0,0
"151205 Værgevederlag "; 7,1; 8,1; 8,2; 8,2; 8,2; 8,2
"15120510 Værgevederlag "; 7,1; 8,1; 8,2; 8,2; 8,2; 8,2
"1513 Forsknings- og forsøgsvirksomhed mv. "; 250,7; 290,4; 286,4; 257,1; 200,5; 197,0
"151301 SFI "; 37,6; 39,7; 37,5; 31,6; 31,0; 30,5
"15130110 Almindelig virksomhed "; 31,0; 30,6; 29,8; 25,5; 24,8; 24,3
"15130120 SFI Campbell "; 6,1; 6,2; 6,2; 6,1; 6,2; 6,2
"15130130 Opdatering af ældredatabasen "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"15130140 Børneforløbsundersøgelsen "; 0,5; 3,2; 1,5; 0,0; 0,0; 0,0
"15130150 Konkurrenceudsat bevilling "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"15130190 Indtægtsdækket virksomhed "; 0,0; -0,1; 0,0; 0,0; 0,0; 0,0
"15130195 Tilskudsfinansieret forskningsvirksomhed "; 0,0; -0,2; 0,0; 0,0; 0,0; 0,0
"151302 Center for selvmordsforskning "; 3,9; 3,9; 3,9; 3,9; 3,9; 3,9
"15130230 Center for Selvmordsforskning "; 3,9; 3,9; 3,9; 3,9; 3,9; 3,9
"151304 Center for frivilligt socialt arbejde "; 10,1; 7,1; 7,1; 7,1; 7,2; 7,2
"15130410 Center for frivilligt socialt arbejde "; 7,1; 7,1; 7,1; 7,1; 7,2; 7,2
"15130430 Udmøntning af delinitiativer i National civil"; 3,0; 0,0; 0,0; 0,0; 0,0; 0,0
"151307 Frivilligrådet "; 3,1; 3,6; 3,6; 3,6; 3,6; 3,1
"15130710 Almindelig virksomhed "; 3,1; 3,6; 3,6; 3,6; 3,6; 3,1
"15130797 Andre tilskudsfinansierede aktiviteter "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"151310 KORA "; 35,5; 35,4; 35,1; 34,6; 34,1; 33,5
"15131010 Almindelig virksomhed "; 30,5; 30,1; 29,8; 29,4; 29,0; 28,5
"15131020 Særskilte opgaver "; 5,0; 5,3; 5,3; 5,2; 5,1; 5,0
"15131090 Indtægtsdækket virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"15131095 Tilskudsfinansierede forskningsaktiviteter "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"15131097 Andre tilskudsfinansierede aktiviteter "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"151311 Omstillingsinitiativer mv. "; 7,0; 14,7; 0,0; 0,0; 0,0; 0,0
"15131110 Omstillingsinitiativer mv. "; 7,0; 14,7; 0,0; 0,0; 0,0; 0,0
"151315 Frivilligt socialt arbejde "; 49,9; 51,4; 44,3; 44,3; 45,2; 45,2
"15131510 Frivilligt socialt arbejde "; 49,9; 51,4; 44,3; 44,3; 45,2; 45,2
"151320 Børn og unges sociale problemer "; 0,0; 1,0; 8,9; 1,4; 0,8; 0,0
"15132030 Makkerlæsning og Klub Penalhus, Puljer "; 0,0; 0,0; 6,7; 0,0; 0,0; 0,0
"15132031 Makkerlæsning og klub Penalhus "; 0,0; 1,0; 2,2; 1,4; 0,8; 0,0
"151322 Mere viden om mennesker med handicap "; 4,3; 0,0; 0,0; 0,0; 0,0; 0,0
"15132230 Ny forskning om ADHD "; 0,1; 0,0; 0,0; 0,0; 0,0; 0,0
"15132240 Socialhistorisk projekt "; 2,7; 0,0; 0,0; 0,0; 0,0; 0,0
"15132250 Viden om etniske minoriteter og handicap "; 1,5; 0,0; 0,0; 0,0; 0,0; 0,0
"151323 Rammebeløb til handicappede mv. "; 4,4; 11,2; 23,7; 25,0; 0,8; 0,0
"15132310 Rammebeløb til handicappede mv. "; 4,4; 0,0; 0,0; 0,0; 0,0; 0,0
"15132315 Unge og voksne med ADHD, pulje "; 0,0; 0,0; 4,5; 0,0; 0,0; 0,0
"15132316 Bedre hjælp til ADHD, evaluering "; 0,0; 1,7; 0,3; 0,3; 0,8; 0,0
"15132322 Kriminalpræventive sociale indsatser "; -0,1; 0,5; 0,0; 0,0; 0,0; 0,0
"15132325 Aktiviteter og ledsagelse "; 0,0; 8,5; 15,4; 14,9; 0,0; 0,0
"15132330 Børn og unge med udadreagerende adfærd "; 0,0; 0,0; 3,5; 9,8; 0,0; 0,0
"15132340 Indsats for familier med handicappede børn "; 0,8; 0,5; 0,0; 0,0; 0,0; 0,0
"15132350 Kvalitets- og vidensudvikling på handicapområ"; -0,8; 0,0; 0,0; 0,0; 0,0; 0,0
"151324 Nye og nemmere veje "; 1,0; 0,0; 0,0; 0,0; 0,0; 0,0
"15132410 Nye og nemmere veje "; 1,0; 0,0; 0,0; 0,0; 0,0; 0,0
"151325 Den Fælles Tolkeløsning "; 43,8; 43,8; 44,1; 44,1; 44,1; 44,1
"15132510 Udgifter til afholdelse af tolkning "; 40,2; 39,7; 40,0; 40,0; 40,0; 40,0
"15132520 Tilskud til driften af DNT "; 3,6; 4,1; 4,1; 4,1; 4,1; 4,1
"151326 Helhed og sammenhæng på handicapområdet "; 6,3; 20,2; 22,5; 23,7; 0,0; 0,0
"15132610 Flyt holdninger og gør op med fordomme "; 0,5; 1,0; 0,0; 0,0; 0,0; 0,0
"15132620 Frivillig faglighed "; 0,8; 1,4; 1,3; 2,6; 0,0; 0,0
"15132630 Mestringskurser til mennesker med udviklingsh"; 0,9; 0,8; 0,0; 0,0; 0,0; 0,0
"15132640 Task Force på handicapområdet "; 0,6; 2,8; 2,8; 2,8; 0,0; 0,0
"15132650 Måling af inklusion "; 0,0; 0,8; 0,0; 0,0; 0,0; 0,0
"15132660 Mestringsstøtte til fam. m. handicappede børn"; 1,9; 10,6; 13,7; 13,7; 0,0; 0,0
"15132670 Pilotprojekt om indsatser i botilbud "; 1,7; 2,8; 4,7; 4,6; 0,0; 0,0
"151328 Frivilligt arbejde inden for det sociale felt "; 36,1; 50,6; 47,9; 30,0; 22,0; 21,7
"15132830 Uddannelse, kurser mv., friv. sociale felt "; 7,6; 8,1; 8,2; 8,2; 0,0; 0,0
"15132861 Inklusion og deltagelse, pulje "; 0,0; 6,4; 0,0; 0,0; 0,0; 0,0
"15132862 Inklusion og deltagelse, evaluering "; 0,0; 0,0; 0,3; 0,2; 0,3; 0,0
"15132863 Peer-to-peer fællesskaber "; 0,0; 0,0; 14,5; 0,0; 0,0; 0,0
"15132870 Etablering af en frivillig gældsrådgiver "; 8,5; 10,4; 0,0; 0,0; 0,0; 0,0
"15132890 Pulje til frivilligcentre "; 19,9; 24,8; 24,9; 21,6; 21,7; 21,7
"15132891 Undersøgelse af frivilligcentre "; 0,0; 0,9; 0,0; 0,0; 0,0; 0,0
"151330 Tilskud til Livslinien "; 5,9; 6,0; 6,0; 6,0; 6,0; 6,0
"15133010 Tilskud til Livslinien "; 5,9; 6,0; 6,0; 6,0; 6,0; 6,0
"151331 Tilbud om frivilligt arbejde som led i udd "; 1,8; 1,8; 1,8; 1,8; 1,8; 1,8
"15133110 Tilbud om frivilligt arbejde som led i udd "; 1,8; 1,8; 1,8; 1,8; 1,8; 1,8
"151340 Udv. af socialt arbejde og brugerinddragelse "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"15134020 Social lighed og sundhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"1514 Uddannelse "; 16,9; 13,3; 13,8; 13,8; 13,8; 13,8
"151411 Efteruddannelse "; 0,8; 0,8; 1,2; 1,2; 1,2; 1,2
"15141140 Mobilityinstruktører "; 0,4; 0,4; 0,4; 0,4; 0,4; 0,4
"15141150 Projekter i nordisk regi mv. "; 0,4; 0,4; 0,8; 0,8; 0,8; 0,8
"151414 Handlekraftig indsats "; 2,3; 2,0; 2,0; 2,0; 2,0; 2,0
"15141410 Handlekraftig indsats "; 2,3; 2,0; 2,0; 2,0; 2,0; 2,0
"151415 Udvikling og etablering af børnehuse "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"15141510 Udvikling og etablering af børnehuse "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"151416 Forebyggelsesstrategi og inklusion "; 13,9; 10,5; 10,6; 10,6; 10,6; 10,6
"15141610 Forebyggelsesstrategi og inklusion "; 13,9; 10,5; 10,6; 10,6; 10,6; 10,6
"1515 Den centrale refusionsordning "; 1556,1; 1658,2; 1645,4; 1645,4; 1645,4; 1645,4
"151503 Den centrale refusionsordning "; 1567,3; 1670,0; 1656,1; 1656,1; 1656,1; 1656,1
"15150310 Den centrale refusionsordning "; 1567,3; 1670,0; 1656,1; 1656,1; 1656,1; 1656,1
"151504 Unges ophold i Kriminalforsorgens institution "; -11,2; -11,8; -10,7; -10,7; -10,7; -10,7
"15150410 Unges ophold i Kriminalforsorgens institution"; -11,2; -11,8; -10,7; -10,7; -10,7; -10,7
"1516 Reservation til anbringelsesreformen "; 24,3; 28,7; 28,9; 28,9; 28,9; 28,9
"151601 Reservation til anbringelsesreformen "; 24,3; 28,7; 28,9; 28,9; 28,9; 28,9
"15160120 Efteruddannelse "; 24,8; 28,7; 28,9; 28,9; 28,9; 28,9
"15160140 Styrkelse af kvalitet "; -0,5; 0,0; 0,0; 0,0; 0,0; 0,0
"1519 Christiansø "; 6,1; 6,2; 6,3; 6,3; 6,3; 6,3
"151971 Christiansø, Kgl. resolution af 12. dec. 1845 "; 6,1; 6,2; 6,3; 6,3; 6,3; 6,3
"15197110 Christiansø, Kgl. resolution af 12. dec. 1845"; 6,1; 6,2; 6,3; 6,3; 6,3; 6,3
"152 Børn "; 89,1; 103,6; 130,5; 124,6; 103,5; 103,5
"1525 Udvikling af dagtilbud "; 43,6; 51,4; 37,6; 33,6; 33,6; 33,6
"152509 Barnets Reform "; 14,4; 23,3; 24,4; 24,4; 24,4; 24,4
"15250910 Udvikling af plejefamilieområdet "; -0,9; 0,0; 0,0; 0,0; 0,0; 0,0
"15250913 Strategisk forskningsprogram og vidensportal "; 4,2; 2,4; 2,4; 2,4; 2,4; 2,4
"15250916 Bisidder til udsatte børn og unge "; -3,5; 4,5; 5,5; 5,5; 5,5; 5,5
"15250917 Efteruddannelse af sagsbehandlere "; 14,6; 16,4; 16,5; 16,5; 16,5; 16,5
